country,crop
Belgium,Barley
Belgium,Corn
Belgium,Oats
Belgium,Rapeseed
Belgium,Rye
Belgium,Soft Wheat
Belgium,Winter barley
Bulgaria,Barley
Bulgaria,Corn
Bulgaria,Oats
Bulgaria,Rapeseed
Bulgaria,Rye
Bulgaria,Soft Wheat
Bulgaria,Soya
Bulgaria,Sunflower seed
Bulgaria,Winter barley
Denmark,Barley
Denmark,Corn
Denmark,Oats
Denmark,Rapeseed
Denmark,Rye
Denmark,Soft Wheat
Denmark,Winter barley
Estonia,Barley
Estonia,Oats
Estonia,Rapeseed
Estonia,Rye
Estonia,Soft Wheat
Estonia,Winter barley
Finland,Barley
Finland,Oats
Finland,Rapeseed
Finland,Rye
Finland,Soft Wheat
Finland,Sunflower seed
France,Barley
France,Corn
France,Oats
France,Rapeseed
France,Rye
France,Soft Wheat
France,Soya
France,Sunflower seed
France,Winter barley
Germany,Barley
Germany,Rapeseed
Germany,Soft Wheat
Germany,Corn
Germany,Oats
Germany,Rye
Germany,Soya
Germany,Sunflower seed
Germany,Winter barley
Hungary,Barley
Hungary,Corn
Hungary,Oats
Hungary,Rapeseed
Hungary,Rye
Hungary,Soft Wheat
Hungary,Soya
Hungary,Sunflower seed
Hungary,Winter barley
Italy,Barley
Italy,Corn
Italy,Oats
Italy,Rapeseed
Italy,Rye
Italy,Soft Wheat
Italy,Soya
Italy,Sunflower seed
Italy,Winter barley
Latvia,Barley
Latvia,Oats
Latvia,Rapeseed
Latvia,Rye
Latvia,Soft Wheat
Latvia,Spring barley
Latvia,Winter barley
Lithuania,Barley
Lithuania,Corn
Lithuania,Rapeseed
Lithuania,Rye
Lithuania,Soft Wheat
Lithuania,Soya
Lithuania,Oats
Lithuania,Winter barley
Netherlands,Barley
Netherlands,Corn
Netherlands,Oats
Netherlands,Rapeseed
Netherlands,Rye
Netherlands,Soft Wheat
Netherlands,Winter barley
Netherlands,Soya
Poland,Barley
Poland,Corn
Poland,Oats
Poland,Rapeseed
Poland,Rye
Poland,Soft Wheat
Poland,Soya
Poland,Sunflower seed
Poland,Winter barley
Romania,Barley
Romania,Corn
Romania,Rapeseed
Romania,Rye
Romania,Soft Wheat
Romania,Soya
Romania,Sunflower seed
Romania,Oats
Romania,Winter barley
Spain,Barley
Spain,Corn
Spain,Oats
Spain,Rapeseed
Spain,Rye
Spain,Soft Wheat
Spain,Soya
Spain,Sunflower seed
Spain,Winter barley
Sweden,Barley
Sweden,Oats
Sweden,Soft Wheat
Sweden,Rapeseed
Sweden,Rye
Sweden,Corn
Sweden,Winter barley